政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00000001	民間企業退職金実態調査	内閣官房	内閣人事局退職手当第２係	-	１回限り	?登録あり	〇	-	?作成機関情報
00000002	"一般職国家公務員在職状況統計表
（人事統計報告）"	内閣官房	内閣人事局調査係	業務統計	年	?登録あり	〇	-	?作成機関情報
00000003	国家公務員退職手当実態調査	内閣官房	内閣人事局退職手当第２係	業務統計	年	?登録あり	〇	-	?作成機関情報
00020111	民間企業の勤務条件制度等調査	人事院	職員福祉局職員福祉課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00020112	国家公務員死因調査	人事院	職員福祉局職員福祉課	業務統計	３年	?登録あり	〇	〇	?作成機関情報
00020131	国家公務員災害補償統計	人事院	職員福祉局補償課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00020151	退職公務員生活状況調査	人事院	給与局生涯設計課	一般統計	不定期	?登録あり	〇	〇	?作成機関情報
00020211	一般職の国家公務員の任用状況調査	人事院	人材局企画課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00020311	職種別民間給与実態調査	人事院	給与局給与第一課	一般統計	年	?登録あり	〇	-	?作成機関情報
00020312	国家公務員給与等実態調査	人事院	給与局給与第一課	業務統計	年	?登録あり	〇	-	?作成機関情報
00020321	民間企業における役員報酬（給与）調査	人事院	給与局給与第二課	一般統計	年	?登録あり	〇	-	?作成機関情報
00100001	景気ウォッチャー調査	内閣府	政策統括官（経済財政分析担当）付参事官（地域担当）	一般統計	月	?登録あり	〇	〇	?作成機関情報
00100002	「絆」と社会サービスに関する調査	内閣府	政策統括官（経済社会システム）付参事官（社会システム担当）	一般統計	平成24年度のみ	?登録あり	〇	-	?作成機関情報
00100003	特定非営利活動法人及び市民の社会貢献に関する実態調査	内閣府	政策統括官（経済社会システム担当）付参事官（共助社会づくり推進担当）	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00100004	市民の社会貢献に関する実態調査	内閣府	政策統括官（経済社会システム担当）付参事官（共助社会づくり推進担当）	一般統計	３年	?登録あり	〇	-	?作成機関情報
00100005	特定非営利活動法人に関する実態調査	内閣府	"政策統括官（経済社会システム担当）
付参事官（共助社会づくり推進担当）付"	一般統計	３年	?登録あり	〇	-	?作成機関情報
00100101	情報化社会と青少年に関する調査	内閣府	政策統括官（共生社会政策担当）付参事官（青少年環境整備担当）	その他	５年	?登録あり	〇	〇	?作成機関情報
00100102	青少年の生活と意識に関する基本調査	内閣府	政策統括官（共生社会政策担当）付参事官（青少年企画担当）	その他	平成12年度のみ	?登録あり	〇	〇	?作成機関情報
00100103	低年齢少年の価値観等に関する調査	内閣府	政策統括官（共生社会政策担当）付参事官（青少年企画担当）	その他	平成11年度のみ	?登録あり	〇	〇	?作成機関情報
00100104	非行原因に関する総合的研究調査	内閣府	政策統括官（共生社会政策担当）付参事官（青少年環境整備担当）	その他	平成10年度のみ	?登録あり	〇	〇	?作成機関情報
00100105	青少年のインターネット利用環境実態調査	内閣府	政策統括官（共生社会政策担当）付参事官（青少年環境整備担当）	一般統計	年	?登録あり	〇	〇	?作成機関情報
00100106	高齢者の生活と意識に関する国際比較調査	内閣府	政策統括官（共生社会政策担当）付参事官（高齢社会対策担当）	一般統計	５年	?登録あり	〇	-	?作成機関情報
00100107	若者の生活に関する調査	内閣府	政策統括官（共生社会政策担当）付参事官（青少年支援担当）	一般統計	１回限り	?登録あり	〇	〇	?作成機関情報
00100108	高齢者の経済・生活環境に関する調査	内閣府	政策統括官（共生社会政策担当）付参事官（高齢社会対策担当）	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00100109	低年齢層の子供のインターネット利用環境実態調査	内閣府	政策統括官（共生社会政策担当）付参事官（青少年環境整備担当）	一般統計	１回限り	?登録あり	〇	〇	?作成機関情報
00100111	高齢者の健康に関する調査	内閣府	政策統括官（共生社会政策担当）付参事官（高齢社会対策担当）	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00100112	児童手当事業年報	内閣府	子ども・子育て本部児童手当管理室	業務統計	年	?登録あり	〇	-	?作成機関情報
00100113	高齢者の住宅と生活環境に関する調査	内閣府	政策統括官（共生社会政策担当）付参事官（高齢社会対策担当）	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00100114	生活状況に関する調査	内閣府	政策統括官（共生社会政策担当）付参事官（青少年支援担当）	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00100115	非行・被害等に関する総合的研究調査	内閣府	内閣府政策統括官（共生社会政策担当）付参事官（青少年環境整備担当）	その他	10年	-	-	-	-
00100116	高齢者の経済生活に関する調査	内閣府	"政策統括官（共生社会政策担当）付参事官（高齢社会対策担当）付
高齢社会対策担当"	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00100201	男女間における暴力に関する調査	内閣府	男女共同参画局推進課	一般統計	３年	?登録あり	〇	-	?作成機関情報
00100202	企業のワーク・ライフ・バランスに関する調査	内閣府	男女共同参画局推進課	一般統計	一回限り	?登録あり	〇	〇	?作成機関情報
00100301	東日本大震災における地震・津波時の避難に関する実態調査	内閣府	政策統括官（防災担当）付参事官（調査・企画担当）	一般統計	平成24年度のみ	?登録あり	〇	-	?作成機関情報
00100401	機械受注統計調査	内閣府	経済社会総合研究所景気統計部	一般統計	月、四半期	?登録あり	〇	-	?作成機関情報
00100402	企業行動に関するアンケート調査	内閣府	経済社会総合研究所景気統計部	一般統計	年	?登録あり	〇	〇	?作成機関情報
00100403	法人企業動向調査	内閣府	経済社会総合研究所景気統計部	その他	四半期	?登録あり	〇	-	?作成機関情報
00100404	法人企業景気予測調査	内閣府	経済社会総合研究所景気統計部	一般統計	四半期	?登録あり	〇	-	?作成機関情報
00100405	消費動向調査	内閣府	経済社会総合研究所景気統計部	一般統計	月	?登録あり	〇	-	?作成機関情報
00100406	景気動向指数	内閣府	経済社会総合研究所景気統計部	加工統計	月	?登録あり	〇	-	?作成機関情報
00100407	民間非営利団体実態調査	内閣府	経済社会総合研究所国民経済計算部国民支出課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00100408	地方公共団体消費状況等調査	内閣府	経済社会総合研究所国民経済計算部国民支出課	一般統計	四半期	?登録あり	〇	〇	?作成機関情報
00100409	国民経済計算	内閣府	経済社会総合研究所国民経済計算部	基幹統計	年、四半期	?登録あり	〇	〇	?作成機関情報
00100410	民間企業投資・除却調査	内閣府	経済社会総合研究所国民経済計算部国民資産課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00100411	産業連関構造調査（地方公共団体投入調査）	内閣府	経済社会総合研究所国民経済計算部国民支出課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00100412	組織マネジメントに関する調査（JP- MOPS）	内閣府	経済社会総合研究所研究官室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00100501	公益法人の寄附金収入に関する実態調査	内閣府	大臣官房公益法人行政担当室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00120001	生産・出荷集中度調査	公正取引委員会	事務総局経済取引局総務課経済調査室	業務統計		?登録あり	〇	〇	?作成機関情報
00130001	犯罪統計	警察庁	刑事局捜査支援分析管理官	業務統計	月、年	?登録あり	〇	〇	?作成機関情報
00130002	道路の交通に関する統計	警察庁	交通局交通企画課	業務統計	月、年、半年	?登録あり	〇	〇	?作成機関情報
00160001	消費者団体名簿	消費者庁	消費者教育推進課	業務統計	３年	-	-	-	-
00160003	地方消費者行政の現況調査	消費者庁	地方協力課	業務統計	年	?登録あり	〇	-	?作成機関情報
00200051	恩給統計	総務省	政策統括官（恩給担当）付恩給業務管理官室	業務統計	年	?登録あり	〇	-	?作成機関情報
00200052	都道府県知事裁定恩給に関する統計	総務省	政策統括官（恩給担当）付恩給業務管理官室	業務統計	年	?登録あり	〇	-	?作成機関情報
00200101	行政手続法の施行状況に関する調査	総務省	行政管理局行政手続室	業務統計	不定期	-	-	-	-
00200102	行政不服審査法等の施行状況に関する調査	総務省	行政管理局行政手続室	業務統計	不定期	-	-	-	-
